"house_id","listing","property_type","city","zone","area","latitude","longitude","plot_area","built_up_area","bedrooms","balconies","bathrooms","total_floors","X1bhk","X2bhk","X3bhk","parking","price","availability","transaction_type","on_loan","negotiable","water_source","site_facing","door_facing","flooring_type","furnishing","year_of_construction","score_neighborhood"
121,"sell","apartment","bangalore","East Bangalore","brookefield",12.96754231,77.71350901,550,471,"1","1","1","NA","NA","NA","NA","covered",2569090.909,"ready_to_move","resale","yes","yes","both","west","south","vitrified_tiles","semi",2010,7.142857143
122,"sell","apartment","bangalore","East Bangalore","brookefield",12.96921925,77.71590155,1800,1723,"3","1","2","NA","NA","NA","NA","open",9398181.818,"ready_to_move","resale","yes","yes","both","east","west","vitrified_tiles","semi",2013,5.714285714
123,"sell","apartment","bangalore","East Bangalore","brookefield",12.97298868,77.71420257,1100,1032,"2","2","1","NA","NA","NA","NA","covered",5629090.909,"ready_to_move","resale","yes","yes","both","east","south","vitrified_tiles","semi",2008,5
124,"sell","apartment","bangalore","East Bangalore","brookefield",12.96352984,77.72701723,1650,1585,"3","1","2","NA","NA","NA","NA","covered",8645454.545,"ready_to_move","new","yes","yes","both","south","west","vitrified_tiles","semi",2008,1.428571429
125,"sell","apartment","bangalore","East Bangalore","brookefield",12.96070343,77.71605997,1200,1140,"2","2","1","NA","NA","NA","NA","covered",6218181.818,"ready_to_move","resale","no","yes","both","west","south","vitrified_tiles","semi",2008,8.571428571
126,"sell","apartment","bangalore","East Bangalore","brookefield",12.96241597,77.72838098,500,432,"1","1","1","NA","NA","NA","NA","covered",2356363.636,"ready_to_move","resale","yes","yes","both","south","east","vitrified_tiles","semi",2013,1.428571429
127,"sell","independent_house","bangalore","East Bangalore","brookefield",12.97316778,77.71391839,500,500,"NA","NA","NA","1","1","0","0","covered",2083333.333,"ready_to_move","resale","yes","yes","both","south","south","vitrified_tiles","semi",2010,5
128,"sell","independent_house","bangalore","East Bangalore","brookefield",12.9743058,77.72206068,1200,3600,"NA","NA","NA","3","1","1","1","covered",1.5e+07,"ready_to_move","resale","yes","yes","both","west","south","marble","semi",2011,1.428571429
129,"sell","independent_house","bangalore","East Bangalore","brookefield",12.96612058,77.71829639,1200,3000,"NA","NA","NA","3","1","2","0","covered",12500000,"ready_to_move","resale","no","yes","both","north","north","vitrified_tiles","semi",2008,7.857142857
130,"sell","independent_house","bangalore","East Bangalore","brookefield",12.96276555,77.71964572,1000,1500,"NA","NA","NA","2","1","1","0","open",6250000,"ready_to_move","resale","yes","yes","both","north","east","vitrified_tiles","semi",2008,4.285714286
131,"sell","independent_house","bangalore","East Bangalore","brookefield",12.96093103,77.71961575,500,1000,"NA","NA","NA","2","2","0","0","covered",4166666.667,"ready_to_move","new","yes","yes","both","south","south","marble","semi",2011,7.857142857
132,"sell","independent_house","bangalore","East Bangalore","brookefield",12.97471177,77.72101326,550,550,"NA","NA","NA","1","1","0","0","covered",2291666.667,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2009,0
133,"sell","apartment","bangalore","West Bangalore","sarjapur_road",12.85661093,77.78090382,1200,1125,"2","2","1","NA","NA","NA","NA","open",5522727.273,"ready_to_move","resale","yes","yes","both","south","north","vitrified_tiles","semi",2007,2.142857143
134,"sell","apartment","bangalore","West Bangalore","sarjapur_road",12.85884545,77.78531018,1800,1736,"3","1","2","NA","NA","NA","NA","covered",8522181.818,"ready_to_move","resale","yes","yes","both","east","south","vitrified_tiles","semi",2009,7.857142857
135,"sell","apartment","bangalore","West Bangalore","sarjapur_road",12.86114372,77.78116296,500,443,"1","1","1","NA","NA","NA","NA","covered",2174727.273,"ready_to_move","resale","yes","yes","both","east","east","marble","semi",2010,7.142857143
136,"sell","apartment","bangalore","West Bangalore","sarjapur_road",12.86089726,77.78364678,1100,1028,"2","2","1","NA","NA","NA","NA","covered",5046545.455,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2008,7.142857143
137,"sell","apartment","bangalore","West Bangalore","sarjapur_road",12.85850354,77.78574346,1500,1442,"3","1","2","NA","NA","NA","NA","covered",7078909.091,"ready_to_move","new","yes","yes","both","south","south","vitrified_tiles","semi",2012,6.428571429
138,"sell","apartment","bangalore","West Bangalore","sarjapur_road",12.85820548,77.78683007,1000,934,"2","2","1","NA","NA","NA","NA","covered",4585090.909,"ready_to_move","new","no","yes","both","west","south","marble","semi",2011,5
139,"sell","independent_house","bangalore","West Bangalore","sarjapur_road",12.85917782,77.78159037,600,600,"NA","NA","NA","1","1","0","0","covered",2250000,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2012,7.142857143
140,"sell","independent_house","bangalore","West Bangalore","sarjapur_road",12.85791812,77.78688504,500,1000,"NA","NA","NA","2","2","0","0","covered",3750000,"ready_to_move","resale","yes","yes","both","south","west","marble","semi",2009,5
141,"sell","independent_house","bangalore","West Bangalore","sarjapur_road",12.86030662,77.78614204,1200,3600,"NA","NA","NA","3","1","1","1","covered",13500000,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2007,5
142,"sell","independent_house","bangalore","West Bangalore","sarjapur_road",12.85804484,77.78567333,1100,2750,"NA","NA","NA","3","1","2","0","covered",10312500,"ready_to_move","resale","yes","yes","both","south","north","vitrified_tiles","semi",2009,5
143,"sell","independent_house","bangalore","West Bangalore","sarjapur_road",12.8628951,77.78031145,1000,1500,"NA","NA","NA","2","1","1","0","covered",5625000,"ready_to_move","new","yes","yes","both","south","south","vitrified_tiles","semi",2007,4.285714286
144,"sell","independent_house","bangalore","West Bangalore","sarjapur_road",12.85721297,77.78465931,1000,3500,"NA","NA","NA","4","1","3","0","open",13125000,"ready_to_move","resale","yes","yes","both","south","south","vitrified_tiles","semi",2011,2.857142857
145,"sell","apartment","bangalore","East Bangalore","kr_puram",13.01058416,77.74223654,600,526,"1","1","1","NA","NA","NA","NA","covered",2869090.909,"ready_to_move","resale","yes","yes","both","west","north","marble","semi",2012,0
146,"sell","apartment","bangalore","East Bangalore","kr_puram",13.01818722,77.7161754,1200,1148,"2","2","1","NA","NA","NA","NA","covered",6261818.182,"ready_to_move","resale","yes","yes","both","west","east","vitrified_tiles","semi",2007,0
147,"sell","apartment","bangalore","East Bangalore","kr_puram",13.0133107,77.7142001,600,541,"1","1","1","NA","NA","NA","NA","open",2950909.091,"ready_to_move","resale","yes","yes","both","north","north","marble","semi",2015,0
148,"sell","apartment","bangalore","East Bangalore","kr_puram",13.01288049,77.68951215,500,446,"1","1","1","NA","NA","NA","NA","covered",2432727.273,"ready_to_move","resale","yes","yes","both","north","north","vitrified_tiles","semi",2007,0
149,"sell","apartment","bangalore","East Bangalore","kr_puram",13.00717126,77.73263548,1500,1450,"3","1","2","NA","NA","NA","NA","covered",7909090.909,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2008,0
150,"sell","apartment","bangalore","East Bangalore","kr_puram",13.01228491,77.68807231,1800,1743,"3","1","2","NA","NA","NA","NA","covered",9507272.727,"ready_to_move","new","no","yes","both","west","east","marble","semi",2009,0
151,"sell","independent_house","bangalore","East Bangalore","kr_puram",13.01633351,77.73744475,1000,3000,"NA","NA","NA","4","2","2","0","covered",12500000,"ready_to_move","resale","yes","yes","both","south","west","vitrified_tiles","semi",2015,0
152,"sell","independent_house","bangalore","East Bangalore","kr_puram",13.00850843,77.69781248,600,600,"NA","NA","NA","1","1","0","0","covered",2500000,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2011,0
153,"sell","independent_house","bangalore","East Bangalore","kr_puram",13.01510419,77.73571594,1200,1800,"NA","NA","NA","2","1","1","0","covered",7500000,"ready_to_move","new","yes","yes","both","south","south","marble","semi",2007,0
154,"sell","independent_house","bangalore","East Bangalore","kr_puram",13.01092181,77.71491842,1000,1500,"NA","NA","NA","2","1","1","0","covered",6250000,"ready_to_move","resale","no","yes","both","west","west","vitrified_tiles","semi",2010,0
155,"sell","independent_house","bangalore","East Bangalore","kr_puram",13.01564865,77.75980693,1200,1800,"NA","NA","NA","2","1","1","0","covered",7500000,"ready_to_move","resale","yes","yes","both","east","west","vitrified_tiles","semi",2014,0
156,"sell","independent_house","bangalore","East Bangalore","kr_puram",13.01781355,77.69245439,1100,2750,"NA","NA","NA","3","1","2","0","open",11458333.33,"ready_to_move","resale","yes","yes","both","east","west","vitrified_tiles","semi",2007,0
157,"sell","apartment","bangalore","North Bangalore","hebbal",13.03869098,77.5917162,500,445,"1","1","1","NA","NA","NA","NA","covered",3155454.545,"ready_to_move","resale","yes","yes","both","east","west","marble","semi",2012,0
158,"sell","apartment","bangalore","North Bangalore","hebbal",13.03729325,77.59726546,600,534,"1","1","1","NA","NA","NA","NA","open",3786545.455,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2010,0
159,"sell","apartment","bangalore","North Bangalore","hebbal",13.03748967,77.59644551,1500,1425,"3","1","2","NA","NA","NA","NA","open",10104545.45,"ready_to_move","new","no","yes","both","west","east","vitrified_tiles","semi",2012,0
160,"sell","apartment","bangalore","North Bangalore","hebbal",13.03846448,77.590152,1000,928,"2","2","1","NA","NA","NA","NA","covered",6580363.636,"ready_to_move","resale","yes","yes","both","west","south","marble","semi",2011,0
161,"sell","apartment","bangalore","North Bangalore","hebbal",13.0376962,77.59335054,600,523,"1","1","1","NA","NA","NA","NA","covered",3708545.455,"ready_to_move","new","yes","yes","both","west","north","vitrified_tiles","semi",2011,0
162,"sell","apartment","bangalore","North Bangalore","hebbal",13.03974885,77.60759332,500,436,"1","1","1","NA","NA","NA","NA","covered",3091636.364,"ready_to_move","resale","yes","yes","both","west","north","marble","semi",2013,0
163,"sell","independent_house","bangalore","North Bangalore","hebbal",13.03750179,77.60748527,1000,2500,"NA","NA","NA","2","0","1","1","covered",13541666.67,"ready_to_move","resale","no","yes","both","west","east","vitrified_tiles","semi",2010,0
164,"sell","independent_house","bangalore","North Bangalore","hebbal",13.03881721,77.59725667,1000,2500,"NA","NA","NA","3","1","2","0","covered",13541666.67,"ready_to_move","resale","yes","yes","both","west","south","marble","semi",2015,0
165,"sell","independent_house","bangalore","North Bangalore","hebbal",13.03936192,77.60912001,500,500,"NA","NA","NA","1","1","0","0","covered",2708333.333,"ready_to_move","resale","yes","yes","both","north","west","vitrified_tiles","semi",2010,0
166,"sell","independent_house","bangalore","North Bangalore","hebbal",13.03832457,77.60386554,500,500,"NA","NA","NA","1","1","0","0","covered",2708333.333,"ready_to_move","resale","yes","yes","both","west","east","vitrified_tiles","semi",2009,0
167,"sell","independent_house","bangalore","North Bangalore","hebbal",13.03773101,77.59196606,1100,3300,"NA","NA","NA","4","2","2","0","covered",17875000,"ready_to_move","new","yes","yes","both","west","south","marble","semi",2007,0
168,"sell","independent_house","bangalore","North Bangalore","hebbal",13.03693087,77.59889744,1200,3600,"NA","NA","NA","3","1","1","1","covered",19500000,"ready_to_move","resale","no","yes","both","south","east","vitrified_tiles","semi",2011,1.428571429
169,"sell","apartment","bangalore","North Bangalore","ramamurthy_nagar",13.01516181,77.67135895,1500,1440,"3","1","2","NA","NA","NA","NA","covered",8640000,"ready_to_move","resale","no","yes","both","south","south","vitrified_tiles","semi",2007,0
170,"sell","apartment","bangalore","North Bangalore","ramamurthy_nagar",13.0152461,77.66635148,600,543,"1","1","1","NA","NA","NA","NA","open",3258000,"ready_to_move","resale","yes","yes","both","south","north","vitrified_tiles","semi",2014,0
171,"sell","apartment","bangalore","North Bangalore","ramamurthy_nagar",13.01871882,77.66797315,1200,1130,"2","2","1","NA","NA","NA","NA","covered",6780000,"ready_to_move","resale","yes","yes","both","south","south","vitrified_tiles","semi",2014,0
172,"sell","apartment","bangalore","North Bangalore","ramamurthy_nagar",13.01539512,77.67863206,1500,1420,"3","1","2","NA","NA","NA","NA","covered",8520000,"ready_to_move","resale","yes","yes","both","west","west","marble","semi",2007,0
173,"sell","apartment","bangalore","North Bangalore","ramamurthy_nagar",13.01669027,77.66528808,500,425,"1","1","1","NA","NA","NA","NA","open",2550000,"ready_to_move","resale","yes","yes","both","west","east","vitrified_tiles","semi",2007,0
174,"sell","apartment","bangalore","North Bangalore","ramamurthy_nagar",13.01625719,77.67617322,1000,920,"2","2","1","NA","NA","NA","NA","covered",5520000,"ready_to_move","new","yes","yes","both","north","south","vitrified_tiles","semi",2007,0
175,"sell","independent_house","bangalore","North Bangalore","ramamurthy_nagar",13.01551854,77.68852153,1200,4200,"NA","NA","NA","4","1","3","0","covered",19250000,"ready_to_move","resale","yes","yes","both","south","east","vitrified_tiles","semi",2012,0
176,"sell","independent_house","bangalore","North Bangalore","ramamurthy_nagar",13.01669553,77.68921486,500,500,"NA","NA","NA","1","1","0","0","covered",2291666.667,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2007,0
177,"sell","independent_house","bangalore","North Bangalore","ramamurthy_nagar",13.01911394,77.67616269,1200,3600,"NA","NA","NA","3","1","1","1","open",16500000,"ready_to_move","resale","no","yes","both","north","south","vitrified_tiles","semi",2009,0
178,"sell","independent_house","bangalore","North Bangalore","ramamurthy_nagar",13.01602184,77.68618253,1200,3600,"NA","NA","NA","3","1","1","1","covered",16500000,"ready_to_move","new","yes","yes","both","west","north","marble","semi",2008,0
179,"sell","independent_house","bangalore","North Bangalore","ramamurthy_nagar",13.01907117,77.67943677,1000,1500,"NA","NA","NA","2","1","1","0","covered",6875000,"ready_to_move","resale","yes","yes","both","west","south","vitrified_tiles","semi",2011,0
180,"sell","independent_house","bangalore","North Bangalore","ramamurthy_nagar",13.01730531,77.67231536,600,600,"NA","NA","NA","1","1","0","0","covered",2750000,"ready_to_move","resale","yes","yes","both","west","east","vitrified_tiles","semi",2009,0
181,"sell","apartment","bangalore","East Bangalore","mahadevapura",12.98616678,77.67087003,600,523,"1","1","1","NA","NA","NA","NA","covered",3138000,"ready_to_move","resale","yes","yes","both","north","east","marble","semi",2013,0
182,"sell","apartment","bangalore","East Bangalore","mahadevapura",12.99003347,77.67268811,1200,1121,"2","2","1","NA","NA","NA","NA","covered",6726000,"ready_to_move","resale","yes","yes","both","south","west","vitrified_tiles","semi",2011,0
183,"sell","apartment","bangalore","East Bangalore","mahadevapura",12.99237678,77.69711473,550,486,"1","1","1","NA","NA","NA","NA","covered",2916000,"ready_to_move","new","yes","yes","both","east","south","vitrified_tiles","semi",2007,0
184,"sell","apartment","bangalore","East Bangalore","mahadevapura",12.98840062,77.67187601,1200,1144,"2","2","1","NA","NA","NA","NA","covered",6864000,"ready_to_move","resale","no","yes","both","east","west","marble","semi",2010,0
185,"sell","apartment","bangalore","East Bangalore","mahadevapura",12.99047045,77.69503285,550,499,"1","1","1","NA","NA","NA","NA","covered",2994000,"ready_to_move","new","yes","yes","both","south","south","vitrified_tiles","semi",2011,0
186,"sell","apartment","bangalore","East Bangalore","mahadevapura",12.98989054,77.67400919,1500,1450,"3","1","2","NA","NA","NA","NA","covered",8700000,"ready_to_move","new","yes","yes","both","south","west","vitrified_tiles","semi",2007,0
187,"sell","independent_house","bangalore","East Bangalore","mahadevapura",12.98882588,77.69621326,600,600,"NA","NA","NA","1","1","0","0","covered",2750000,"ready_to_move","resale","no","yes","both","east","south","vitrified_tiles","semi",2011,0
188,"sell","independent_house","bangalore","East Bangalore","mahadevapura",12.98596183,77.68059975,1000,3000,"NA","NA","NA","4","2","2","0","covered",13750000,"ready_to_move","resale","no","yes","both","east","west","marble","semi",2012,0
189,"sell","independent_house","bangalore","East Bangalore","mahadevapura",12.98820664,77.68467899,1200,3000,"NA","NA","NA","3","1","2","0","open",13750000,"ready_to_move","new","yes","yes","both","north","west","vitrified_tiles","semi",2007,0
190,"sell","independent_house","bangalore","East Bangalore","mahadevapura",12.98682432,77.70343064,1000,2500,"NA","NA","NA","2","0","1","1","covered",11458333.33,"ready_to_move","resale","yes","yes","both","west","east","marble","semi",2009,0
191,"sell","independent_house","bangalore","East Bangalore","mahadevapura",12.9927339,77.69290032,1200,1800,"NA","NA","NA","2","1","1","0","covered",8250000,"ready_to_move","resale","yes","yes","both","south","west","vitrified_tiles","semi",2007,0
192,"sell","independent_house","bangalore","East Bangalore","mahadevapura",12.99343517,77.67541217,1200,3000,"NA","NA","NA","3","1","2","0","covered",13750000,"ready_to_move","resale","yes","yes","both","south","east","vitrified_tiles","semi",2009,0
193,"sell","apartment","bangalore","South Bangalore","kanakapura_road",12.54710229,77.42079493,500,421,"1","1","1","NA","NA","NA","NA","covered",1837090.909,"ready_to_move","new","yes","yes","both","west","east","vitrified_tiles","semi",2009,0
194,"sell","apartment","bangalore","South Bangalore","kanakapura_road",12.55338368,77.42376134,1100,1037,"2","2","1","NA","NA","NA","NA","covered",4525090.909,"ready_to_move","resale","no","yes","both","north","south","vitrified_tiles","semi",2009,1.428571429
195,"sell","apartment","bangalore","South Bangalore","kanakapura_road",12.54348998,77.42441233,500,423,"1","1","1","NA","NA","NA","NA","covered",1845818.182,"ready_to_move","new","yes","yes","both","east","north","marble","semi",2011,0
196,"sell","apartment","bangalore","South Bangalore","kanakapura_road",12.54579676,77.42215253,1000,927,"2","2","1","NA","NA","NA","NA","covered",4045090.909,"ready_to_move","resale","yes","yes","both","east","north","vitrified_tiles","semi",2012,0
197,"sell","apartment","bangalore","South Bangalore","kanakapura_road",12.53278115,77.42282035,600,547,"1","1","1","NA","NA","NA","NA","covered",2386909.091,"ready_to_move","resale","no","yes","both","north","north","vitrified_tiles","semi",2009,0
198,"sell","apartment","bangalore","South Bangalore","kanakapura_road",12.54512342,77.41822564,1500,1432,"3","1","2","NA","NA","NA","NA","covered",6248727.273,"ready_to_move","resale","yes","yes","both","south","west","marble","semi",2008,0
199,"sell","independent_house","bangalore","South Bangalore","kanakapura_road",12.54722403,77.41972462,1200,3000,"NA","NA","NA","3","1","2","0","open",1e+07,"ready_to_move","new","yes","yes","both","west","east","vitrified_tiles","semi",2012,0
200,"sell","independent_house","bangalore","South Bangalore","kanakapura_road",12.54388894,77.42046922,1000,1000,"NA","NA","NA","1","0","1","0","covered",3333333.333,"ready_to_move","resale","yes","yes","both","east","south","marble","semi",2009,0
201,"sell","independent_house","bangalore","South Bangalore","kanakapura_road",12.54412328,77.41969751,1200,3600,"NA","NA","NA","3","1","1","1","covered",1.2e+07,"ready_to_move","resale","yes","yes","both","north","west","vitrified_tiles","semi",2009,0
202,"sell","independent_house","bangalore","South Bangalore","kanakapura_road",12.53532777,77.42225115,1200,3600,"NA","NA","NA","4","2","2","0","covered",1.2e+07,"ready_to_move","resale","yes","yes","both","west","north","marble","semi",2014,0
203,"sell","independent_house","bangalore","South Bangalore","kanakapura_road",12.54632736,77.42434724,1200,1200,"NA","NA","NA","1","0","1","0","covered",4e+06,"ready_to_move","resale","no","yes","both","west","north","vitrified_tiles","semi",2014,0.714285714
204,"sell","independent_house","bangalore","South Bangalore","kanakapura_road",12.53729178,77.42355158,1100,1100,"NA","NA","NA","1","0","1","0","covered",3666666.667,"ready_to_move","new","yes","yes","both","south","west","vitrified_tiles","semi",2009,0
205,"sell","apartment","bangalore","North Bangalore","horamavu",13.02662814,77.66004571,500,433,"1","1","1","NA","NA","NA","NA","open",2598000,"ready_to_move","resale","yes","yes","both","east","west","marble","semi",2014,0
206,"sell","apartment","bangalore","North Bangalore","horamavu",13.03621562,77.66741805,1800,1727,"3","1","2","NA","NA","NA","NA","covered",10362000,"ready_to_move","resale","yes","yes","both","north","north","vitrified_tiles","semi",2007,0
207,"sell","apartment","bangalore","North Bangalore","horamavu",13.03662567,77.6569603,1000,926,"2","2","1","NA","NA","NA","NA","covered",5556000,"ready_to_move","new","no","yes","both","west","south","vitrified_tiles","semi",2009,0
208,"sell","apartment","bangalore","North Bangalore","horamavu",13.02940872,77.6576935,1500,1439,"3","1","2","NA","NA","NA","NA","covered",8634000,"ready_to_move","resale","yes","yes","both","east","east","vitrified_tiles","semi",2009,0
209,"sell","apartment","bangalore","North Bangalore","horamavu",13.03787549,77.65889301,1100,1032,"2","2","1","NA","NA","NA","NA","covered",6192000,"ready_to_move","new","yes","yes","both","south","north","vitrified_tiles","semi",2009,0
210,"sell","apartment","bangalore","North Bangalore","horamavu",13.02695974,77.6580497,600,547,"1","1","1","NA","NA","NA","NA","covered",3282000,"ready_to_move","resale","yes","yes","both","north","west","vitrified_tiles","semi",2007,0
211,"sell","independent_house","bangalore","North Bangalore","horamavu",13.02428831,77.65570449,1200,1800,"NA","NA","NA","2","1","1","0","covered",8250000,"ready_to_move","resale","yes","yes","both","north","south","marble","semi",2011,0
212,"sell","independent_house","bangalore","North Bangalore","horamavu",13.02060188,77.66275811,1200,1200,"NA","NA","NA","1","0","1","0","covered",5500000,"ready_to_move","resale","no","yes","both","north","south","vitrified_tiles","semi",2012,0
213,"sell","independent_house","bangalore","North Bangalore","horamavu",13.0445417,77.66633644,1200,3600,"NA","NA","NA","4","2","2","0","open",16500000,"ready_to_move","new","yes","yes","both","east","south","marble","semi",2015,0
214,"sell","independent_house","bangalore","North Bangalore","horamavu",13.03958191,77.6637987,1200,3000,"NA","NA","NA","3","1","2","0","covered",13750000,"ready_to_move","resale","yes","yes","both","south","north","marble","semi",2007,0
215,"sell","independent_house","bangalore","North Bangalore","horamavu",13.03103754,77.6565897,1200,3000,"NA","NA","NA","2","0","1","1","covered",13750000,"ready_to_move","resale","yes","yes","both","east","north","vitrified_tiles","semi",2008,0
216,"sell","independent_house","bangalore","North Bangalore","horamavu",13.03563296,77.66135604,1000,1500,"NA","NA","NA","2","1","1","0","open",6875000,"ready_to_move","resale","no","yes","both","east","north","vitrified_tiles","semi",2007,0
217,"sell","independent_house","bangalore","south","jayanagar",12.918845,77.593042,1000,800,"NA","NA","NA","3","1","1","1","covered",6e+06,"ready_to_move","resale","yes","yes","Select Water Source","east","east","vitrified_tiles","semi",2012,8.57142857142857
218,"sell","apartment","bangalore","south","jayanagar",12.918573,77.59331,1200,800,"2","2","2","NA","NA","NA","NA","covered",5e+06,"ready_to_move","resale","yes","yes","Select Water Source","east","east","vitrified_tiles","semi",2012,8.57142857142857
